benchmark;flow;op_num;op_type;size;depth;runtime
adder;map|map|map|resub|cr-z|map|map;8;1;384;129;0.0
bar;map|map|map|resub|cr-z|map|map;0;0;3336;12;0.0
bar;map|map|map|resub|cr-z|map|map;1;101;2693;13;1.287115
bar;map|map|map|resub|cr-z|map|map;2;101;2684;13;0.6562604
bar;map|map|map|resub|cr-z|map|map;3;101;2680;13;0.6465948
bar;map|map|map|resub|cr-z|map|map;4;105;2588;14;2.4652472
bar;map|map|map|resub|cr-z|map|map;5;104;2588;14;1.4911143
bar;map|map|map|resub|cr-z|map|map;6;101;2584;13;0.6273672
bar;map|map|map|resub|cr-z|map|map;7;101;2580;13;0.62615263
bar;map|map|map|resub|cr-z|map|map;8;1;2580;13;0.0
adder;ref_main5;0;0;1020;255;0.0
adder;ref_main5;1;0;1020;255;0.0
adder;ref_main5;2;3;384;129;0.0
adder;ref_main5;3;1;384;129;0.0
bar;map_l_1;0;0;3336;12;0.0
bar;map_l_1;1;0;3336;12;0.0
bar;map_l_1;2;3;2588;13;0.0
bar;map_l_1;3;1;2588;13;0.0
bar;map_l_3;0;0;3336;12;0.0
bar;map_l_3;1;0;3336;12;0.0
bar;map_l_3;2;3;2588;13;0.0
bar;map_l_3;3;1;2588;13;0.0
bar;map_l_5;0;0;3336;12;0.0
bar;map_l_5;1;0;3336;12;0.0
bar;map_l_5;2;3;2588;13;0.0
bar;map_l_5;3;1;2588;13;0.0
bar;ref_main5;0;0;3336;12;0.0
bar;ref_main5;1;0;3336;12;0.0
bar;ref_main5;2;3;2496;14;0.0
bar;ref_main5;3;1;2496;14;0.0
